(15, 262.640625, 3194.25)
(15, 263.625, 3186.5)
(15, 264.5625, 3179.5)
(15, 265.546875, 3179.25)
(15, 266.484375, 3173.5)
(15, 267.453125, 3170.0)
(15, 268.453125, 3165.25)
(15, 269.40625, 3158.25)
(15, 270.40625, 3160.5)
(15, 271.359375, 3164.5)
(15, 272.34375, 3167.25)
(15, 293.265625, 496.0)
(15, 310.09375, 162.5)
(15, 312.03125, 158.0)
(15, 324.546875, 142.5)
(15, 325.5, 142.0)
(15, 344.671875, 199.25)
(15, 345.65625, 198.0)
(15, 346.609375, 196.5)
(15, 347.609375, 195.25)
(15, 348.5625, 194.25)
(15, 349.53125, 193.75)
(15, 350.5, 193.5)
(15, 351.46875, 192.5)
(15, 352.4375, 191.75)
(15, 353.671875, 191.5)
(15, 354.3125, 191.25)
(15, 354.953125, 190.5)
(15, 356.25, 189.5)
(15, 357.234375, 189.25)
(15, 358.8125, 189.0)
(15, 359.75, 188.75)
------------------------------------------------------------
Ars Rover Scanner
New_rplidar_data
QA / Angl / Dist
------------------------------------------------------------
(15, 0.96875, 189.5)
(15, 1.96875, 189.75)
(15, 2.546875, 190.0)
(15, 3.96875, 190.0)
(15, 4.953125, 189.75)
(15, 5.953125, 190.0)
(15, 6.953125, 190.5)
(15, 7.953125, 191.0)
(15, 8.953125, 191.0)
(15, 9.953125, 191.25)
(15, 10.9375, 192.25)
(15, 11.953125, 193.0)
(15, 12.953125, 193.5)
(15, 13.953125, 194.5)
(15, 14.953125, 195.25)
(15, 15.953125, 195.75)
(15, 18.953125, 198.0)
(15, 19.953125, 200.5)
(15, 20.9375, 201.75)
(15, 67.03125, 500.0)
(15, 68.03125, 504.75)
(15, 68.921875, 516.0)
(15, 84.515625, 1254.75)
(15, 85.53125, 1232.25)
(15, 87.59375, 1177.5)
(15, 89.6875, 1119.75)
(15, 90.734375, 1093.75)
(15, 93.84375, 996.0)
(15, 98.046875, 884.75)
(15, 99.140625, 864.25)
(15, 100.15625, 843.25)
(13, 101.1875, 827.25)
(15, 102.21875, 814.25)
(15, 103.21875, 798.75)
(15, 104.265625, 781.5)
(15, 105.28125, 765.25)
(15, 106.40625, 752.0)
(15, 107.46875, 742.5)
(15, 108.25, 743.25)
(15, 110.4375, 716.25)
(15, 111.40625, 709.5)
(15, 112.484375, 696.5)
(15, 113.453125, 689.75)
(15, 114.546875, 682.5)
(15, 115.53125, 676.5)
(15, 116.59375, 668.5)
(15, 117.484375, 658.75)
(15, 118.5, 656.75)
(15, 119.53125, 649.25)
(15, 120.609375, 639.75)
(15, 121.578125, 636.75)
(15, 122.734375, 628.75)
(15, 123.78125, 622.75)
(15, 124.609375, 620.75)
(15, 125.671875, 616.5)
(15, 126.703125, 611.0)
(15, 127.796875, 603.75)
(14, 130.796875, 601.0)
(15, 131.75, 595.75)
(15, 132.890625, 593.5)
(15, 133.9375, 593.25)
(15, 134.984375, 588.25)
(15, 136.015625, 585.5)
(15, 136.875, 583.25)
(15, 137.96875, 583.0)
(15, 138.90625, 584.75)
(15, 139.875, 581.75)
(15, 141.0625, 576.75)
(15, 141.890625, 579.0)
(15, 142.953125, 579.5)
(15, 143.90625, 578.75)
(15, 144.984375, 579.5)
(15, 146.109375, 575.5)
(15, 146.90625, 574.5)
(15, 147.953125, 575.5)
(15, 149.046875, 579.25)
(15, 150.015625, 582.25)
(15, 151.109375, 579.5)
(15, 152.09375, 578.5)
(15, 153.0625, 584.25)
(15, 153.9375, 585.75)
(15, 155.03125, 582.25)
(15, 156.015625, 583.25)
(15, 157.265625, 587.75)
(15, 158.015625, 592.5)
(15, 159.140625, 594.5)
(15, 160.0625, 595.5)
(15, 161.09375, 594.75)
(15, 162.140625, 599.5)
(15, 163.171875, 603.75)
(15, 164.078125, 604.75)
(15, 165.046875, 608.5)
(15, 166.140625, 613.75)
(15, 167.171875, 618.0)
(15, 168.140625, 620.5)
(15, 169.125, 622.0)
(15, 170.109375, 627.75)
(15, 170.96875, 639.75)
(15, 177.03125, 10198.5)
(10, 178.046875, 10208.25)
(8, 178.984375, 10262.0)
(15, 180.0, 10225.75)
(9, 181.0, 10205.75)
(15, 182.015625, 10238.5)
(15, 183.015625, 10232.5)
