0.7,189.2
1.6,189.7
2.6,189.7
3.5,189.7
4.5,189.7
5.4,190.0
6.4,190.2
7.3,190.5
8.3,191.0
9.2,191.2
9.7,192.0
11.1,193.0
12.1,193.2
13.0,193.5
14.0,194.2
14.9,195.2
15.9,195.7
16.3,196.7
17.8,198.0
18.7,199.2
19.7,200.2
20.7,201.5
20.9,202.7
66.3,504.0
84.8,1264.5
86.8,1196.5
87.7,1184.7
89.8,1123.7
90.7,1104.5
92.7,1035.5
93.7,1013.0
94.8,993.7
97.8,903.5
98.8,878.0
99.8,852.2
100.8,838.0
101.8,828.5
102.7,810.5
103.8,790.2
104.7,772.5
105.6,760.7
106.7,754.7
107.6,751.7
108.6,744.2
109.5,729.2
110.6,718.2
111.5,709.7
112.5,702.0
113.5,694.0
114.6,683.0
115.4,678.5
116.3,671.7
117.3,661.0
118.4,656.2
119.4,650.0
120.3,642.7
121.4,640.0
122.4,635.0
123.2,629.5
124.2,624.0
125.2,617.0
126.3,617.0
127.3,614.5
128.0,609.5
131.1,602.5
131.9,592.2
133.0,592.0
134.0,592.2
134.9,588.0
135.8,585.5
136.8,583.2
137.8,583.2
138.7,583.7
139.8,579.7
140.7,577.2
141.6,578.5
142.7,579.2
143.7,580.2
144.5,579.2
145.5,578.5
146.5,577.0
147.5,573.7
148.5,573.2
149.5,576.0
150.3,579.5
151.2,578.2
152.1,578.0
153.1,581.7
154.2,582.2
155.2,580.7
156.2,582.5
157.3,588.2
158.2,592.5
159.2,594.5
160.0,595.7
161.2,594.0
162.0,598.7
163.0,605.2
163.8,605.0
164.9,607.5
165.8,611.7
166.8,616.2
167.7,620.0
169.6,628.0
170.5,637.0
177.1,10145.2
178.0,10230.2
179.0,10284.2
179.9,10217.7
180.9,10146.7
181.9,10192.5
182.8,10221.7
183.8,10177.7
184.8,10294.2
186.7,10383.0
187.7,10237.2
188.6,10043.0
189.6,10008.2
190.6,10014.2
191.5,9901.0
192.5,9811.2
193.5,9745.0
194.4,9695.0
195.4,9656.0
197.3,9110.0
198.3,9125.5
199.3,9102.2
203.7,2386.5
204.6,2353.5
208.1,6779.2
209.1,6665.2
210.0,6493.0
212.4,2126.7
214.9,5649.5
215.9,5536.5
216.9,5410.0
217.8,5271.5
218.8,5157.0
219.8,5050.7
220.7,4951.5
221.7,4852.2
222.7,4747.5
223.7,4654.7
224.6,4567.2
225.6,4492.2
226.6,4410.2
227.6,4324.5
228.6,4252.2
229.5,4197.7
230.5,4140.2
231.5,4074.7
232.4,4015.2
233.4,3966.2
234.4,3922.0
235.3,3879.5
236.3,3843.5
237.3,3790.7
238.3,3738.2
239.3,3698.5
240.2,3659.0
241.2,3626.0
242.2,3602.2
243.1,3569.7
244.1,3535.7
245.1,3509.2
246.1,3479.7
247.0,3447.5
248.0,3420.0
249.0,3399.0
249.9,3378.2
250.9,3360.2
251.9,3343.5
252.9,3333.0
253.8,3319.5
254.8,3297.7
255.8,3279.2
256.8,3268.5
257.7,3249.7
258.7,3225.2
259.7,3217.0
260.6,3213.5
261.6,3202.5
262.6,3194.2
263.6,3186.5
264.5,3179.5
265.5,3179.2
266.4,3173.5
267.4,3170.0
268.4,3165.2
269.4,3158.2
270.4,3160.5
